item_code,HV,SS,OS,MS,weight,description
1.1.01.1.1.01.P,12.150457069963315,0.0,,,0.37093985162405,rice_PDS
1.1.01.1.1.02.X,4.261979155238256,0.0,,,4.3780882487646995,rice_other sources
1.1.01.1.1.03.0,3.606510334643883,0.0,,,0.09523996190401,chira
1.1.01.1.1.05.0,3.5481293335067754,0.0,,,0.11108995556401,muri
1.1.01.1.1.06.0,3.095319079255923,0.0,,,0.01764999294,other rice products
1.1.01.1.1.07.P,11.103634582802849,0.0,,,0.17388993044401999,wheat/atta_PDS
1.1.01.1.1.08.X,5.660242759069884,0.0,,,2.5605189757924,wheat/atta_other sources
1.1.01.1.1.09.0,4.838472926834019,0.0,,,0.031119987552,maida
1.1.01.1.1.10.0,2.957906950275184,0.0,,,0.09510996195601,suji; rawa
1.1.01.1.1.11.X,2.4280042797652577,0.014194890671482607,,,0.033809986476000004,sewai; noodles
1.1.01.1.1.12.0,2.434105132149343,0.018982985934411167,,,0.10815995673601,bread [bakery]
1.1.01.1.1.13.X,2.6785080702331205,0.0,,,0.8830796467681401,biscuits; chocolates; etc.
1.1.01.1.1.15.0,16.060438871287925,0.0045874802837143625,,,0.0011599995360001853,other cereals
1.1.01.1.1.16.0,10.491833333938727,0.0,,,0.047559980976,cereal substitutes: tapioca; etc.
1.1.01.2.1.01.X,6.375071758042752,0.0,,,0.22632990946803,jowar and its products
1.1.01.2.1.02.X,7.85150870488365,0.0,,,0.11248995500401,bajra and its products
1.1.01.2.1.03.X,5.593233095930969,0.0,,,0.057109977156,maize and products
1.1.01.2.1.05.X,6.240024459165454,0.0,,,0.0002399999040000384,small millets and their products
1.1.01.2.1.06.X,6.45829763923486,0.0,,,0.045779981688,ragi and its products
1.1.01.3.2.01.0,2.964025664171487,0.0,,,0.32419987032005,grinding charges
1.1.02.1.1.01.0,5.050747940022676,0.010736327770510812,,,0.79376968249212,goat meat/mutton
1.1.02.1.1.02.X,2.8985871429713868,0.0,,,0.26751989299204,beef/buffalo meat
1.1.02.1.1.03.0,3.865442408707683,0.0,,,0.051769979292,pork
1.1.02.1.1.04.0,7.987065987321003,0.0,,,1.22722950910819,chicken
