item_code,description
3.1.01.1.1.02.0,saree (no.)
3.1.01.1.1.03.X,shawl; chaddar (no.)
3.1.01.1.1.04.0,lungi (no.)
3.1.01.1.1.05.0,kurta-pajama suits: males (no.)
3.1.01.1.1.06.X,shirts; T-shirts (no.)
3.1.01.1.1.07.X,shorts; trousers; bermudas (no.)
3.1.01.1.1.08.X,baniyan; socks; other hosiery and undergarments; etc. (no.)
3.1.01.1.1.09.0,kurta-pajama suits: females (no.)
3.1.01.1.1.10.0,frocks; skirts; etc. (no.)
3.1.01.1.1.13.0,school/college uniform: boys
3.1.01.1.1.14.0,school/college uniform: girls
3.1.01.2.1.01.X,coat; jacket; sweater; windcheater (no.)
3.1.01.2.1.02.0,knitting wool (gm)
3.1.01.3.1.03.X,cloth for shirt; pyjama; kurta; salwar; etc. (metre)
3.1.01.3.1.04.X,cloth for coat; trousers; suit; etc. (metre)
3.1.01.3.1.06.0,clothing [first-hand]: other
3.1.01.3.1.07.0,clothing: second-hand
3.1.01.3.1.08.X,gamchha; towel; handkerchief (no.)
3.1.01.3.1.09.X,headwear; belts; ties (no.)
3.1.01.4.2.01.X,washerman; laundry; ironing
3.1.01.4.2.02.X,tailor
3.1.02.1.1.01.X,leather boots; shoes
3.1.02.1.1.02.X,leather sandals; chappals; etc.
3.1.02.1.1.03.0,other leather footwear
3.1.02.1.1.04.X,rubber/PVC footwear
3.1.02.1.1.05.0,other footwear
4.1.01.1.2.01.X,house rent; garage rent
4.1.01.2.2.01.X,residential building and land [cost of repairs only]
4.1.01.2.2.02.X,water charges
4.1.01.2.2.03.0,watch man charges [other cons taxes]
5.1.01.1.1.01.0,electricity (std. unit)
5.1.01.2.1.01.X,LPG [excl. conveyance]
5.1.01.3.1.01.P,kerosene – PDS (litre)
5.1.01.3.1.02.0,kerosene – other sources (litre)
5.1.01.3.1.04.0,diesel (litre) [excl. conveyance]
5.1.01.3.1.05.0,other fuel
5.1.01.4.1.01.0,coke
5.1.01.4.1.02.0,firewood and chips
5.1.01.4.1.03.0,coal
5.1.01.4.1.04.0,charcoal
5.1.01.4.1.05.0,dung cake
6.1.01.1.1.01.0,bedstead
6.1.01.1.1.02.0,almirah; dressing table
6.1.01.1.1.03.X,chair; stool; bench; table
6.1.01.1.1.06.0,other furniture and fixtures [couch; sofa; etc.]
6.1.01.1.1.07.0,bathroom and sanitary equipment
6.1.01.1.1.09.X,carpet; daree and other floor mattings
6.1.01.2.1.01.0,bed sheet; bed cover (no.)
6.1.01.2.1.02.0,rug; blanket (no.)
6.1.01.2.1.03.X,pillow; quilt; mattress (no.)
6.1.01.2.1.04.X,cloth for upholstery; curtains; tablecloth; etc. (metre)
6.1.01.2.1.05.0,mosquito net (no.)
6.1.01.2.1.06.X,bedding: others
6.1.01.3.1.01.X,air conditioner; air cooler
6.1.01.3.1.02.0,inverter
6.1.01.3.1.03.0,sewing machine
6.1.01.3.1.04.0,washing machine
6.1.01.3.1.05.X,stove; gas burner
6.1.01.3.1.06.0,refrigerator
6.1.01.3.1.07.0,electric fan
6.1.01.3.1.08.0,water purifier
6.1.01.3.1.09.X,electric iron; heater; toaster; oven and other electric heating appliances
6.1.01.3.1.10.0,other cooking/household appliances
6.1.01.3.1.12.0,other durables [specify]
6.1.01.4.1.01.X,stainless steel utensils
6.1.01.4.1.02.0,pressure cooker/pressure pan
6.1.01.4.1.03.0,other metal utensils
6.1.01.4.1.05.0,other crockery and utensils
6.1.01.4.1.06.0,earthenware
6.1.01.4.1.07.0,glassware
6.1.01.5.1.01.X,electric bulb; tubelight
6.1.01.5.1.02.0,plugs; switches and other electrical fittings
6.1.01.5.1.03.0,electric batteries
6.1.01.5.1.04.0,torch
6.1.01.5.1.05.0,lock
6.1.01.6.1.01.X,bucket; water bottle/feeding bottle and other plastic goods
6.1.01.6.1.02.0,coir; rope; etc.
6.1.01.6.1.03.0,washing soap/soda/powder
6.1.01.6.1.04.0,other washing requisites
6.1.01.6.1.05.X,incense [agarbatti]; room freshener
6.1.01.6.1.06.0,flower [fresh]: all purposes
6.1.01.6.1.07.0,mosquito repellent; insecticide; acid etc.
6.1.01.6.1.08.0,matches (box)
6.1.01.6.1.09.0,candle (no.)
6.1.01.6.1.10.0,other petty articles
6.1.01.7.2.01.X,domestic servant/cook
6.1.01.7.2.03.0,sweeper
6.1.01.7.2.05.0,Monthly Maintainance charges
6.1.01.7.2.07.X,other consumer services excluding conveyance
6.1.02.1.2.05.X,hospital and nursing home charges
6.1.02.2.1.01.X,medicine [non-institutional]
6.1.02.2.1.03.X,family planning devices
6.1.02.2.1.04.0,spectacles
6.1.02.2.2.06.0,other medical expenses [non-institutional]
6.1.02.2.2.07.0,doctors/surgeons fee-first consultation [non-institutional]
6.1.02.2.2.08.X,X-ray; ECG; pathological test; etc. [non-institutional]
6.1.03.1.1.01.0, motor car; jeep
6.1.03.1.1.02.X, motor cycle; scooter
6.1.03.1.1.03.0,bicycle [without  accessories]
6.1.03.1.1.05.X, tyres and tubes
6.1.03.2.1.01.0,petrol for vehicle
