item_code,HV
1.1.01.1.1.01.P,12.150457069963315
1.1.01.1.1.02.X,4.261979155238256
1.1.01.1.1.03.0,3.606510334643883
1.1.01.1.1.05.0,3.5481293335067754
1.1.01.1.1.06.0,3.095319079255923
1.1.01.1.1.07.P,11.103634582802849
1.1.01.1.1.08.X,5.660242759069884
1.1.01.1.1.09.0,4.838472926834019
1.1.01.1.1.10.0,2.957906950275184
1.1.01.1.1.11.X,2.4280042797652577
1.1.01.1.1.12.0,2.434105132149343
1.1.01.1.1.13.X,2.6785080702331205
1.1.01.1.1.15.0,16.060438871287925
1.1.01.1.1.16.0,10.491833333938727
1.1.01.2.1.01.X,6.375071758042752
1.1.01.2.1.02.X,7.85150870488365
1.1.01.2.1.03.X,5.593233095930969
1.1.01.2.1.05.X,6.240024459165454
1.1.01.2.1.06.X,6.45829763923486
1.1.01.3.2.01.0,2.964025664171487
1.1.02.1.1.01.0,5.050747940022676
1.1.02.1.1.02.X,2.8985871429713868
1.1.02.1.1.03.0,3.865442408707683
1.1.02.1.1.04.0,7.987065987321003
1.1.02.1.1.05.0,7.6886937651796226
1.1.02.2.1.01.X,2.8886835956537738
1.1.03.1.1.01.0,5.162561515994819
1.1.04.1.1.01.X,2.1937068635935124
1.1.04.2.1.01.0,3.360137929105578
1.1.04.2.1.02.X,2.298249502322326
1.1.04.2.1.03.0,2.218653893312645
1.1.04.2.1.04.0,2.6696666432573095
1.1.05.1.1.01.0,14.552514440408007
1.1.05.1.1.02.0,7.863945665108565
1.1.05.1.1.03.0,31.758603834773968
1.1.05.1.1.04.0,14.064994124671415
1.1.05.2.1.01.0,4.998511531858242
1.1.05.2.1.02.0,3.016072125336607
1.1.05.2.1.03.0,12.752263880102898
1.1.06.1.1.01.0,7.014144868655892
1.1.06.1.1.02.0,13.701125122646564
1.1.06.1.1.03.0,11.324019315723238
1.1.06.1.1.04.0,9.922399337986977
1.1.06.1.1.05.0,17.63178280688341
1.1.06.1.1.06.0,4.638585453731131
1.1.06.1.1.07.0,6.2478888421456045
1.1.06.1.1.08.0,10.465196530519236
1.1.06.1.1.09.X,9.257269525626345
1.1.06.1.1.10.0,9.944467600366071
1.1.06.1.1.11.0,16.115653158625726
1.1.06.1.1.12.0,11.075043889257081
