item_code,weight
1.1.01.1.1.01.P,0.003709398516240593
1.1.01.1.1.02.X,0.043780882487647
1.1.01.1.1.03.0,0.0009523996190401523
1.1.01.1.1.05.0,0.0011108995556401776
1.1.01.1.1.06.0,0.0001764999294000282
1.1.01.1.1.07.P,0.0017388993044402778
1.1.01.1.1.08.X,0.025605189757924092
1.1.01.1.1.09.0,0.00031119987552004976
1.1.01.1.1.10.0,0.000951099619560152
1.1.01.1.1.11.X,0.00033809986476005405
1.1.01.1.1.12.0,0.0010815995673601729
1.1.01.1.1.13.X,0.008830796467681411
1.1.01.1.1.15.0,1.1599995360001854e-05
1.1.01.1.1.16.0,0.000475599809760076
1.1.01.2.1.01.X,0.002263299094680362
1.1.01.2.1.02.X,0.0011248995500401798
1.1.01.2.1.03.X,0.0005710997715600914
1.1.01.2.1.05.X,2.399999040000384e-06
1.1.01.2.1.06.X,0.0004577998168800732
1.1.01.3.2.01.0,0.003241998703200518
1.1.02.1.1.01.0,0.00793769682492127
1.1.02.1.1.02.X,0.0026751989299204273
1.1.02.1.1.03.0,0.0005176997929200827
1.1.02.1.1.04.0,0.012272295091081962
1.1.02.1.1.05.0,5.569997772000891e-05
1.1.02.2.1.01.X,0.012671294931482027
1.1.03.1.1.01.0,0.0043084982766006885
1.1.04.1.1.01.X,0.06418857432457026
1.1.04.2.1.01.0,0.0002532998986800405
1.1.04.2.1.02.X,0.0004113998354400658
1.1.04.2.1.03.0,0.0009421996231201506
1.1.04.2.1.04.0,0.0002746998901200439
1.1.05.1.1.01.0,0.013267794692882123
1.1.05.1.1.02.0,0.0033276986689205323
1.1.05.1.1.03.0,0.000788399684640126
1.1.05.1.1.04.0,0.012623794950482018
1.1.05.2.1.01.0,0.004744498102200758
1.1.05.2.1.02.0,0.00010409995836001665
1.1.05.2.1.03.0,0.0007186997125201149
1.1.06.1.1.01.0,0.005597997760800895
1.1.06.1.1.02.0,4.1399983440006616e-05
1.1.06.1.1.03.0,0.0004683998126400749
1.1.06.1.1.04.0,3.6999985200005916e-05
1.1.06.1.1.05.0,0.0026252989498804194
1.1.06.1.1.06.0,0.00045869981652007336
1.1.06.1.1.07.0,0.00081329967468013
1.1.06.1.1.08.0,2.109999156000337e-05
1.1.06.1.1.09.X,0.0012517994992802004
1.1.06.1.1.10.0,0.00047439981024007585
1.1.06.1.1.11.0,0.003201698719320512
1.1.06.1.1.12.0,0.00012429995028001987
1.1.06.1.1.13.X,5.399997840000864e-06
1.1.06.1.1.14.0,1.3899994440002223e-05
1.1.06.1.1.15.0,8.489996604001357e-05
1.1.06.1.1.16.0,0.004701798119280751
1.1.06.1.1.17.0,0.0015339993864002454
1.1.06.1.1.18.0,0.001193899522440191
1.1.06.2.1.01.0,0.001006799597280161
1.1.06.2.1.02.0,0.0028768988492404598
1.1.06.2.1.03.0,0.00041569983372006646
1.1.06.2.1.04.0,0.0007742996902801237
1.1.06.2.1.05.0,2.7099989160004335e-05
1.1.06.2.1.06.0,0.00014239994304002276
1.1.06.2.1.07.X,0.0005615997753600898
1.1.06.2.1.08.0,0.0004597998160800735
1.1.07.1.1.01.0,0.009840396063841574
1.1.07.1.1.02.0,0.00644089742364103
1.1.07.1.1.03.0,0.0007206997117201151
1.1.07.1.1.04.0,0.0009394996242001502
1.1.07.1.1.05.0,0.003102198759120496
1.1.07.1.1.06.0,0.0019176992329203064
1.1.07.2.1.01.X,0.004384898246040701
1.1.07.3.1.01.0,0.005748797700480919
1.1.07.3.1.02.0,0.0036815985273605883
1.1.07.3.1.03.0,0.0024627990148803937
1.1.07.3.1.04.0,0.00181389927444029
1.1.07.3.1.05.0,0.0027889988844004457
1.1.07.3.1.06.0,0.0028286988685204523
1.1.07.3.1.07.X,0.0009626996149201539
1.1.07.3.1.08.X,0.0023612990554803775
1.1.07.3.1.09.0,0.001031999587200165
1.1.07.3.1.10.X,0.0014246994301202278
1.1.07.3.1.11.0,0.001270499491800203
1.1.07.3.1.12.X,0.005648297740680904
1.1.07.4.1.01.0,0.0009464996214001513
1.1.07.4.1.02.0,7.639996944001222e-05
1.1.08.1.1.01.0,0.007960696815721273
1.1.08.1.1.02.0,0.0019898992040403183
1.1.08.1.1.03.0,0.0009479996208001516
1.1.08.1.1.04.0,0.0034531986187205524
1.1.08.1.1.05.0,0.003021298791480483
1.1.08.1.1.06.0,0.0027352989058804372
1.1.08.1.1.07.0,0.000675599729760108
1.1.08.1.1.08.0,0.00011509995396001839
1.1.08.1.1.09.X,0.0008298996680401326
1.1.08.2.1.01.0,0.0002326999069200372
1.1.08.2.1.02.0,0.0015724993710002513
1.1.08.2.1.03.0,0.000306599877360049
1.1.09.1.1.01.P,0.00087549964980014
1.1.09.1.1.02.0,0.011340295463881813
1.1.09.1.1.03.0,0.0010302995878801646
1.1.09.2.1.01.0,1.1699995320001871e-05
1.1.09.2.1.02.0,3.2699986920005226e-05
1.1.09.2.1.03.X,0.00023409990636003743
1.1.09.3.1.01.0,0.00011629995348001859
1.1.10.1.1.01.0,0.001594699362120255
1.1.10.1.1.02.0,0.0037182985126805942
1.1.10.1.1.03.0,0.003341498663400534
1.1.10.1.1.04.0,0.004965098013960794
1.1.10.1.1.05.0,0.0013987994404802237
1.1.10.1.1.06.0,0.005750997699600919
1.1.10.1.1.07.0,0.0014785994085602364
1.1.10.1.1.08.0,0.0017959992816002873
1.1.10.1.1.09.0,0.0009062996374801449
1.1.12.1.1.01.0,0.008549996580001367
1.1.12.1.1.02.0,0.00019609992156003134
1.1.12.2.1.01.0,0.024247190301123878
1.1.12.3.1.01.X,0.011605695357721857
1.1.12.3.1.03.X,0.005540197783920885
1.1.12.3.1.04.0,0.00456579817368073
1.1.12.3.1.05.0,0.0007819996872001251
1.2.11.1.1.01.0,0.009577996168801532
1.2.11.1.1.02.0,0.0005869997652000939
1.2.11.2.1.01.0,0.0001600999359600256
1.2.11.2.1.02.X,0.0008849996460001414
1.2.11.2.1.03.X,0.0005148997940400824
1.2.11.2.1.04.X,0.000862699654920138
2.1.01.1.1.01.0,0.0035365985853605653
2.1.01.1.1.02.0,0.004034398386240645
2.1.01.1.1.03.0,0.0005787997684800926
2.1.01.1.1.04.0,0.0005931997627200949
2.1.01.1.1.05.0,0.0007638996944401221
2.1.01.2.1.01.0,0.0006395997441601023
2.1.01.2.1.02.0,0.0015532993786802484
2.1.01.2.1.03.X,0.0013112994754802096
2.1.01.3.1.01.0,0.004263798294480681
2.1.01.3.1.02.X,0.0022927990828803665
2.1.01.3.1.03.0,0.0009989996004001597
2.1.01.3.1.04.0,5.5999977600008946e-06
2.1.01.3.1.05.0,5.809997676000929e-05
2.1.01.3.1.06.0,4.2399983040006776e-05
2.1.01.3.1.07.0,0.0004868998052400778
2.1.01.3.1.08.0,0.0026360989455604215
3.1.01.1.1.01.0,0.0007464997014001193
3.1.01.1.1.02.0,0.008966096413561433
3.1.01.1.1.03.X,0.0008229996708001315
3.1.01.1.1.04.0,0.0011462995414801833
3.1.01.1.1.05.0,0.0005529997788000884
3.1.01.1.1.06.X,0.005664597734160905
3.1.01.1.1.07.X,0.0055364977854008846
3.1.01.1.1.08.X,0.004907698036920784
3.1.01.1.1.09.0,0.0022294991082003565
3.1.01.1.1.10.0,0.0015121993951202417
3.1.01.1.1.13.0,0.0016969993212002713
3.1.01.1.1.14.0,0.0013529994588002163
3.1.01.2.1.01.X,0.001962699214920314
3.1.01.2.1.02.0,2.8999988400004635e-06
3.1.01.3.1.03.X,0.006766097293561082
3.1.01.3.1.04.X,0.004234598306160677
3.1.01.3.1.06.0,0.0005150997939600823
3.1.01.3.1.07.0,0.00012679994928002026
3.1.01.3.1.08.X,0.001777499289000284
3.1.01.3.1.09.X,0.0001144999542000183
3.1.01.4.2.01.X,0.001245799501680199
3.1.01.4.2.02.X,0.003890098443960622
3.1.02.1.1.01.X,0.002089099164360334
3.1.02.1.1.02.X,0.0018208992716402912
3.1.02.1.1.03.0,0.0007540996983601206
3.1.02.1.1.04.X,0.0031247987500804993
3.1.02.1.1.05.0,0.0017107993156802736
4.1.01.1.2.01.X,0.09510416195833521
4.1.01.2.2.01.X,0.002831898867240453
4.1.01.2.2.02.X,0.001613599354560258
4.1.01.2.2.03.0,0.0011477995408801834
5.1.01.1.1.01.0,0.02260419095832361
5.1.01.2.1.01.X,0.012862094855162057
5.1.01.3.1.01.P,0.003416198633520546
5.1.01.3.1.02.0,0.002071199171520331
5.1.01.3.1.04.0,2.4299990280003885e-05
5.1.01.3.1.05.0,0.0018411992635202945
5.1.01.4.1.01.0,0.00010729995708001716
5.1.01.4.1.02.0,0.02067549172980331
5.1.01.4.1.03.0,0.00038649984540006175
5.1.01.4.1.04.0,2.289999084000366e-05
5.1.01.4.1.05.0,0.004419598232160707
6.1.01.1.1.01.0,0.0005714997714000913
6.1.01.1.1.02.0,0.0003342998662800535
6.1.01.1.1.03.X,0.0001530999387600245
6.1.01.1.1.06.0,0.0002470999011600395
