item_code,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,modal_cluster,modal_prob
1.1.02.1.1.04.0,0.0,0.0,0.0,0.02,0.49,0.45,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_5,0.49
1.1.02.1.1.05.0,0.0,0.0,0.0,0.02,0.506,0.44,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_5,0.506
1.1.02.2.1.01.X,0.006,0.81,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.81
1.1.03.1.1.01.0,0.0,0.0,0.2,0.748,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_4,0.748
1.1.04.1.1.01.X,0.43,0.566,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.566
1.1.04.2.1.01.0,0.0,0.346,0.642,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_3,0.642
1.1.04.2.1.02.X,0.286,0.708,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.708
1.1.04.2.1.03.0,0.372,0.624,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.624
1.1.04.2.1.04.0,0.018,0.96,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.96
1.1.05.1.1.01.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064,0.54,0.376,0.02,0.0,0.0,0.0,0.0,0.0,cluster_8,0.54
1.1.05.1.1.02.0,0.0,0.0,0.0,0.02,0.496,0.444,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_5,0.496
1.1.05.1.1.03.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106,0.894,0.0,0.0,0.0,cluster_12,0.894
1.1.05.1.1.04.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.63,0.284,0.006,0.0,0.0,0.0,0.0,0.0,cluster_8,0.63
1.1.05.2.1.01.0,0.0,0.0,0.288,0.674,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_4,0.674
1.1.05.2.1.02.0,0.0,0.692,0.308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.692
1.1.05.2.1.03.0,0.0,0.0,0.0,0.0,0.0,0.016,0.3,0.612,0.072,0.0,0.0,0.0,0.0,0.0,0.0,cluster_8,0.612
1.1.06.1.1.01.0,0.0,0.0,0.0,0.112,0.696,0.19,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_5,0.696
1.1.06.1.1.02.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.64,0.264,0.006,0.0,0.0,0.0,0.0,0.0,cluster_8,0.64
1.1.06.1.1.03.0,0.0,0.0,0.0,0.0,0.0,0.102,0.64,0.252,0.006,0.0,0.0,0.0,0.0,0.0,0.0,cluster_7,0.64
1.1.06.1.1.04.0,0.0,0.0,0.0,0.0,0.026,0.51,0.43,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_6,0.51
1.1.06.1.1.05.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.41,0.512,0.056,0.0,0.0,0.0,0.0,cluster_10,0.512
1.1.06.1.1.06.0,0.0,0.006,0.418,0.552,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_4,0.552
1.1.06.1.1.07.0,0.0,0.0,0.006,0.434,0.516,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_5,0.516
1.1.06.1.1.08.0,0.0,0.0,0.0,0.0,0.0,0.148,0.624,0.222,0.006,0.0,0.0,0.0,0.0,0.0,0.0,cluster_7,0.624
1.1.06.1.1.09.X,0.0,0.0,0.0,0.0,0.088,0.63,0.274,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_6,0.63
1.1.06.1.1.10.0,0.0,0.0,0.0,0.0,0.026,0.51,0.43,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_6,0.51
1.1.06.1.1.11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.17,0.716,0.112,0.0,0.0,0.0,0.0,0.0,cluster_9,0.716
1.1.06.1.1.12.0,0.0,0.0,0.0,0.0,0.0,0.104,0.638,0.252,0.006,0.0,0.0,0.0,0.0,0.0,0.0,cluster_7,0.638
1.1.06.1.1.13.X,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.17,0.718,0.11,0.0,0.0,0.0,0.0,0.0,cluster_9,0.718
1.1.06.1.1.14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.618,0.306,0.006,0.0,0.0,0.0,0.0,0.0,cluster_8,0.618
1.1.06.1.1.15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.096,0.642,0.256,0.006,0.0,0.0,0.0,0.0,0.0,cluster_8,0.642
1.1.06.1.1.16.0,0.0,0.0,0.0,0.0,0.0,0.104,0.638,0.252,0.006,0.0,0.0,0.0,0.0,0.0,0.0,cluster_7,0.638
1.1.06.1.1.17.0,0.0,0.0,0.0,0.02,0.506,0.44,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_5,0.506
1.1.06.1.1.18.0,0.0,0.0,0.006,0.432,0.518,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_5,0.518
1.1.06.2.1.01.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.766,0.156,0.0,0.0,0.0,0.0,cluster_10,0.766
1.1.06.2.1.02.0,0.0,0.0,0.028,0.596,0.362,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_4,0.596
1.1.06.2.1.03.0,0.0,0.0,0.14,0.78,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_4,0.78
1.1.06.2.1.04.0,0.0,0.0,0.0,0.02,0.506,0.44,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_5,0.506
1.1.06.2.1.05.0,0.0,0.0,0.046,0.634,0.306,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_4,0.634
1.1.06.2.1.06.0,0.0,0.006,0.406,0.564,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_4,0.564
1.1.06.2.1.07.X,0.0,0.0,0.01,0.516,0.45,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_4,0.516
1.1.06.2.1.08.0,0.006,0.962,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.962
1.1.07.1.1.01.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106,0.894,0.0,0.0,cluster_13,0.894
1.1.07.1.1.02.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cluster_15,1.0
1.1.07.1.1.03.0,0.0,0.0,0.0,0.0,0.084,0.632,0.276,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_6,0.632
1.1.07.1.1.04.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.17,0.718,0.11,0.0,0.0,0.0,0.0,cluster_10,0.718
1.1.07.1.1.05.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cluster_15,1.0
1.1.07.1.1.06.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076,0.924,0.0,0.0,cluster_13,0.924
1.1.07.2.1.01.X,0.0,0.0,0.002,0.29,0.648,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_5,0.648
1.1.07.3.1.01.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,cluster_14,1.0
1.1.07.3.1.02.0,0.0,0.0,0.0,0.0,0.0,0.016,0.3,0.612,0.072,0.0,0.0,0.0,0.0,0.0,0.0,cluster_8,0.612
1.1.07.3.1.03.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.368,0.538,0.074,0.0,0.0,0.0,0.0,cluster_10,0.538
1.1.07.3.1.04.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.766,0.156,0.0,0.0,0.0,0.0,cluster_10,0.766
1.1.07.3.1.05.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.442,0.484,0.044,0.0,0.0,0.0,0.0,0.0,cluster_9,0.484
1.1.07.3.1.06.0,0.0,0.0,0.0,0.0,0.118,0.646,0.23,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_6,0.646
1.1.07.3.1.07.X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.766,0.156,0.0,0.0,0.0,0.0,cluster_10,0.766
1.1.07.3.1.08.X,0.0,0.0,0.0,0.0,0.118,0.646,0.23,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_6,0.646
1.1.07.3.1.09.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.384,0.524,0.072,0.0,0.0,0.0,0.0,cluster_10,0.524
1.1.07.3.1.10.X,0.0,0.0,0.0,0.0,0.078,0.634,0.28,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_6,0.634
1.1.07.3.1.11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054,0.516,0.404,0.026,0.0,0.0,0.0,0.0,0.0,cluster_8,0.516
1.1.07.3.1.12.X,0.0,0.0,0.006,0.388,0.558,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_5,0.558
1.1.07.4.1.01.0,0.0,0.154,0.81,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_3,0.81
1.1.07.4.1.02.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,cluster_14,1.0
1.1.08.1.1.01.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.766,0.156,0.0,0.0,0.0,cluster_11,0.766
1.1.08.1.1.02.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.17,0.718,0.11,0.0,0.0,0.0,0.0,0.0,cluster_9,0.718
1.1.08.1.1.03.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064,0.542,0.374,0.02,0.0,0.0,0.0,0.0,0.0,cluster_8,0.542
1.1.08.1.1.04.0,0.0,0.0,0.0,0.0,0.0,0.104,0.638,0.252,0.006,0.0,0.0,0.0,0.0,0.0,0.0,cluster_7,0.638
1.1.08.1.1.05.0,0.0,0.0,0.0,0.0,0.0,0.1,0.636,0.258,0.006,0.0,0.0,0.0,0.0,0.0,0.0,cluster_7,0.636
1.1.08.1.1.06.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.766,0.156,0.0,0.0,0.0,0.0,cluster_10,0.766
1.1.08.1.1.07.0,0.0,0.0,0.0,0.0,0.0,0.104,0.638,0.252,0.006,0.0,0.0,0.0,0.0,0.0,0.0,cluster_7,0.638
1.1.08.1.1.08.0,0.0,0.0,0.0,0.0,0.092,0.642,0.26,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_6,0.642
1.1.08.1.1.09.X,0.0,0.0,0.044,0.624,0.318,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_4,0.624
1.1.08.2.1.01.0,0.0,0.0,0.0,0.0,0.088,0.632,0.272,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_6,0.632
1.1.08.2.1.02.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.63,0.284,0.006,0.0,0.0,0.0,0.0,0.0,cluster_8,0.63
1.1.08.2.1.03.0,0.0,0.006,0.548,0.43,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_3,0.548
1.1.09.1.1.01.P,0.0,0.0,0.0,0.0,0.0,0.104,0.638,0.252,0.006,0.0,0.0,0.0,0.0,0.0,0.0,cluster_7,0.638
1.1.09.1.1.02.0,0.0,0.0,0.0,0.0,0.152,0.652,0.19,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_6,0.652
1.1.09.1.1.03.0,0.0,0.0,0.352,0.616,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_4,0.616
1.1.09.2.1.01.0,0.132,0.858,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.858
1.1.09.2.1.02.0,0.0,0.0,0.352,0.616,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_4,0.616
1.1.09.2.1.03.X,0.992,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_1,0.992
1.1.09.3.1.01.0,0.0,0.61,0.388,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.61
1.1.10.1.1.01.0,0.0,0.004,0.356,0.612,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_4,0.612
1.1.10.1.1.02.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.112,0.888,0.0,0.0,0.0,cluster_12,0.888
1.1.10.1.1.03.0,0.0,0.0,0.0,0.02,0.488,0.452,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_5,0.488
1.1.10.1.1.04.0,0.0,0.0,0.2,0.744,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_4,0.744
1.1.10.1.1.05.0,0.0,0.0,0.004,0.35,0.598,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_5,0.598
1.1.10.1.1.06.0,0.0,0.0,0.0,0.0,0.0,0.016,0.334,0.584,0.066,0.0,0.0,0.0,0.0,0.0,0.0,cluster_8,0.584
1.1.10.1.1.07.0,0.0,0.0,0.0,0.0,0.0,0.104,0.638,0.252,0.006,0.0,0.0,0.0,0.0,0.0,0.0,cluster_7,0.638
1.1.10.1.1.08.0,0.04,0.948,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.948
1.1.10.1.1.09.0,0.0,0.0,0.046,0.634,0.306,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_4,0.634
1.1.12.1.1.01.0,0.988,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_1,0.988
1.1.12.1.1.02.0,0.196,0.796,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.796
1.1.12.2.1.01.0,0.992,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_1,0.992
1.1.12.3.1.01.X,0.44,0.556,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.556
1.1.12.3.1.03.X,0.742,0.258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_1,0.742
1.1.12.3.1.04.0,0.756,0.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_1,0.756
1.1.12.3.1.05.0,0.212,0.78,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.78
1.2.11.1.1.01.0,0.0,0.036,0.692,0.268,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_3,0.692
1.2.11.1.1.02.0,0.0,0.0,0.0,0.096,0.686,0.214,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_5,0.686
1.2.11.2.1.01.0,0.992,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_1,0.992
1.2.11.2.1.02.X,0.988,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_1,0.988
1.2.11.2.1.03.X,0.992,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_1,0.992
1.2.11.2.1.04.X,0.992,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_1,0.992
2.1.01.1.1.01.0,0.0,0.164,0.802,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_3,0.802
2.1.01.1.1.02.0,0.0,0.0,0.03,0.598,0.358,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_4,0.598
2.1.01.1.1.03.0,0.0,0.0,0.0,0.02,0.496,0.444,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_5,0.496
2.1.01.1.1.04.0,0.0,0.0,0.006,0.398,0.55,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_5,0.55
2.1.01.1.1.05.0,0.0,0.006,0.438,0.532,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_4,0.532
2.1.01.2.1.01.0,0.0,0.006,0.42,0.55,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_4,0.55
2.1.01.2.1.02.0,0.14,0.85,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.85
2.1.01.2.1.03.X,0.0,0.208,0.766,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_3,0.766
2.1.01.3.1.01.0,0.006,0.726,0.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.726
2.1.01.3.1.02.X,0.0,0.006,0.422,0.548,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_4,0.548
2.1.01.3.1.03.0,0.172,0.818,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.818
2.1.01.3.1.04.0,0.0,0.0,0.0,0.112,0.688,0.198,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_5,0.688
2.1.01.3.1.05.0,0.0,0.006,0.65,0.334,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_3,0.65
2.1.01.3.1.06.0,0.0,0.0,0.0,0.164,0.71,0.124,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_5,0.71
2.1.01.3.1.07.0,0.0,0.002,0.356,0.614,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_4,0.614
2.1.01.3.1.08.0,0.0,0.054,0.878,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_3,0.878
3.1.01.1.1.01.0,0.0,0.516,0.476,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.516
3.1.01.1.1.02.0,0.182,0.808,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.808
3.1.01.1.1.03.X,0.006,0.954,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.954
3.1.01.1.1.04.0,0.0,0.224,0.75,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_3,0.75
3.1.01.1.1.05.0,0.006,0.81,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.81
3.1.01.1.1.06.X,0.048,0.94,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.94
3.1.01.1.1.07.X,0.492,0.504,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.504
3.1.01.1.1.08.X,0.0,0.392,0.6,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_3,0.6
3.1.01.1.1.09.0,0.978,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_1,0.978
3.1.01.1.1.10.0,0.188,0.804,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.804
3.1.01.1.1.13.0,0.196,0.796,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.796
3.1.01.1.1.14.0,0.454,0.542,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.542
3.1.01.2.1.01.X,0.04,0.948,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.948
3.1.01.2.1.02.0,0.0,0.0,0.17,0.766,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_4,0.766
3.1.01.3.1.03.X,0.006,0.966,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.966
3.1.01.3.1.04.X,0.298,0.696,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.696
3.1.01.3.1.06.0,0.006,0.966,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.966
3.1.01.3.1.07.0,0.0,0.0,0.0,0.02,0.496,0.444,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_5,0.496
3.1.01.3.1.08.X,0.004,0.698,0.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.698
3.1.01.3.1.09.X,0.0,0.0,0.0,0.078,0.646,0.268,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_5,0.646
3.1.01.4.2.01.X,0.988,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_1,0.988
3.1.01.4.2.02.X,0.488,0.508,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.508
3.1.02.1.1.01.X,0.126,0.864,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.864
3.1.02.1.1.02.X,0.004,0.702,0.294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.702
