item_code,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,modal_cluster,modal_prob
6.1.01.3.1.07.0,0.596,0.404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_1,0.596
6.1.01.3.1.08.0,0.004,0.71,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.71
6.1.01.3.1.09.X,0.0,0.0,0.0,0.0,0.096,0.638,0.26,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_6,0.638
6.1.01.3.1.10.0,0.0,0.29,0.688,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_3,0.688
6.1.01.3.1.12.0,0.0,0.0,0.0,0.122,0.706,0.17,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_5,0.706
6.1.01.4.1.01.X,0.0,0.15,0.812,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_3,0.812
6.1.01.4.1.02.0,0.0,0.0,0.048,0.656,0.29,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_4,0.656
6.1.01.4.1.03.0,0.0,0.062,0.882,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_3,0.882
6.1.01.4.1.05.0,0.088,0.902,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.902
6.1.01.4.1.06.0,0.0,0.272,0.706,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_3,0.706
6.1.01.4.1.07.0,0.0,0.292,0.686,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_3,0.686
6.1.01.5.1.01.X,0.99,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_1,0.99
6.1.01.5.1.02.0,0.0,0.382,0.61,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_3,0.61
6.1.01.5.1.03.0,0.0,0.554,0.44,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.554
6.1.01.5.1.04.0,0.006,0.944,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.944
6.1.01.5.1.05.0,0.0,0.412,0.58,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_3,0.58
6.1.01.6.1.01.X,0.064,0.924,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.924
6.1.01.6.1.02.0,0.0,0.396,0.596,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_3,0.596
6.1.01.6.1.03.0,0.002,0.696,0.302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.696
6.1.01.6.1.04.0,0.992,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_1,0.992
6.1.01.6.1.05.X,0.988,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_1,0.988
6.1.01.6.1.06.0,0.0,0.034,0.678,0.284,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_3,0.678
6.1.01.6.1.07.0,0.992,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_1,0.992
6.1.01.6.1.08.0,0.0,0.29,0.688,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_3,0.688
6.1.01.6.1.09.0,0.39,0.606,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.606
6.1.01.6.1.10.0,0.3,0.696,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.696
6.1.01.7.2.01.X,0.81,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_1,0.81
6.1.01.7.2.03.0,0.0,0.286,0.692,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_3,0.692
6.1.01.7.2.05.0,0.0,0.0,0.004,0.352,0.596,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_5,0.596
